iter	Passed	Remaining
554	15215	39616
555	15246	39597
556	15257	39527
557	15268	39456
558	15277	39381
559	15287	39311
560	15317	39291
561	15327	39219
562	15338	39149
563	15347	39076
564	15357	39004
565	15386	38982
566	15395	38910
567	15405	38839
568	15415	38769
569	15425	38698
570	15453	38674
571	15462	38602
572	15473	38536
573	15486	38472
574	15496	38404
575	15525	38382
576	15534	38311
577	15542	38237
578	15549	38162
579	15557	38088
580	15583	38060
581	15591	37986
582	15598	37913
583	15606	37839
584	15614	37767
585	15639	37737
586	15646	37664
587	15654	37591
588	15660	37517
589	15668	37446
590	15694	37417
591	15701	37345
592	15710	37275
593	15717	37203
594	15725	37132
595	15751	37105
596	15757	37031
597	15763	36956
598	15769	36882
599	15775	36808
600	15800	36780
601	15807	36707
602	15813	36635
603	15818	36561
604	15824	36487
605	15850	36460
606	15862	36401
607	15880	36357
608	15886	36286
609	15892	36213
610	15917	36186
611	15923	36114
612	15929	36043
613	15935	35972
614	15941	35901
615	15966	35872
616	15972	35802
617	15978	35731
618	15984	35660
619	15989	35590
620	16014	35561
621	16020	35492
622	16037	35447
623	16051	35396
624	16057	35326
625	16081	35297
626	16087	35228
627	16093	35159
628	16099	35090
629	16104	35021
630	16128	34991
631	16135	34925
632	16141	34858
633	16147	34790
634	16157	34731
635	16184	34709
636	16190	34642
637	16196	34576
638	16202	34509
639	16208	34443
640	16235	34420
641	16241	34354
642	16247	34288
643	16253	34222
644	16259	34157
645	16285	34134
646	16291	34068
647	16297	34004
648	16304	33939
649	16309	33874
650	16334	33849
651	16340	33784
652	16346	33718
653	16351	33653
654	16357	33590
655	16381	33562
656	16386	33497
657	16392	33432
658	16398	33370
659	16405	33307
660	16428	33280
661	16434	33216
662	16439	33152
663	16445	33089
664	16451	33026
665	16477	33004
666	16483	32941
667	16488	32878
668	16494	32815
669	16499	32752
670	16523	32726
671	16528	32663
672	16534	32602
673	16540	32540
674	16545	32478
675	16570	32454
676	16575	32392
677	16581	32330
678	16586	32269
679	16592	32208
680	16617	32184
681	16622	32124
682	16627	32062
683	16633	32002
684	16639	31942
685	16664	31920
686	16669	31859
687	16675	31799
688	16680	31739
689	16686	31679
690	16710	31655
691	16715	31595
692	16721	31536
693	16726	31477
694	16732	31418
695	16756	31394
696	16761	31335
697	16767	31276
698	16772	31217
699	16778	31159
700	16802	31135
701	16807	31077
702	16812	31018
703	16818	30960
704	16823	30903
705	16849	30882
706	16855	30825
707	16860	30768
708	16877	30731
709	16895	30697
710	16921	30676
711	16926	30619
712	16932	30563
713	16937	30506
714	16942	30449
715	16968	30429
716	16974	30373
717	16979	30317
718	16985	30261
719	16990	30205
720	17019	30191
721	17025	30135
722	17030	30079
723	17037	30028
724	17043	29972
725	17084	29980
726	17090	29925
727	17095	29870
728	17101	29815
729	17106	29760
730	17131	29739
731	17136	29684
732	17141	29629
733	17146	29574
734	17152	29521
735	17177	29500
736	17182	29446
737	17187	29391
738	17192	29337
739	17198	29284
740	17223	29264
741	17229	29210
742	17234	29157
743	17239	29103
744	17244	29050
745	17269	29029
746	17274	28976
747	17280	28923
748	17286	28871
749	17291	28819
750	17315	28798
751	17321	28745
752	17326	28692
753	17331	28641
754	17337	28589
755	17362	28569
756	17367	28517
757	17372	28465
758	17378	28414
759	17383	28363
760	17408	28343
761	17414	28292
762	17419	28240
763	17424	28189
764	17429	28137
765	17452	28115
766	17458	28064
767	17463	28013
768	17471	27967
769	17476	27917
770	17500	27896
771	17505	27845
772	17510	27795
773	17516	27745
774	17521	27695
775	17546	27676
776	17551	27626
777	17556	27576
778	17562	27527
779	17568	27478
780	17593	27459
781	17598	27410
782	17603	27360
783	17608	27311
784	17614	27262
785	17639	27244
786	17644	27195
787	17651	27149
788	17657	27101
789	17662	27052
790	17688	27036
791	17693	26987
792	17699	26939
793	17704	26890
794	17709	26842
795	17734	26824
796	17739	26776
797	17745	26728
798	17750	26681
799	17756	26634
800	17780	26614
801	17785	26567
802	17791	26520
803	17796	26473
804	17801	26426
805	17826	26408
806	17832	26361
807	17837	26314
808	17842	26267
809	17848	26221
810	17873	26203
811	17891	26176
812	17910	26149
813	17915	26103
814	17921	26057
815	17947	26041
816	17953	25995
817	17958	25949
818	17963	25903
819	17969	25858
820	17999	25848
821	18004	25801
822	18010	25756
823	18015	25711
824	18020	25665
825	18048	25651
826	18053	25606
827	18064	25569
828	18073	25529
829	18085	25493
830	18110	25476
831	18115	25431
832	18120	25386
833	18126	25342
834	18131	25297
835	18158	25282
836	18164	25238
837	18169	25194
838	18174	25150
839	18180	25106
840	18214	25101
841	18219	25057
842	18225	25013
843	18230	24970
844	18236	24927
845	18262	24911
846	18268	24868
847	18274	24825
848	18279	24781
849	18284	24738
850	18310	24722
851	18315	24679
852	18321	24635
853	18326	24592
854	18331	24549
855	18357	24533
856	18362	24490
857	18367	24447
858	18373	24404
859	18378	24362
860	18403	24346
861	18409	24303
862	18414	24261
863	18419	24218
864	18425	24176
865	18449	24159
866	18455	24117
867	18464	24080
868	18469	24038
869	18474	23996
870	18500	23980
871	18506	23938
872	18511	23897
873	18517	23856
874	18522	23815
875	18556	23809
876	18561	23768
877	18567	23727
878	18572	23686
879	18578	23644
880	18603	23628
881	18608	23587
882	18613	23546
883	18619	23505
884	18624	23464
885	18650	23449
886	18655	23408
887	18661	23368
888	18666	23327
889	18671	23287
890	18696	23271
891	18702	23230
892	18707	23190
893	18712	23150
894	18718	23110
895	18743	23094
896	18748	23053
897	18753	23013
898	18758	22973
899	18764	22933
900	18787	22915
901	18792	22876
902	18798	22836
903	18803	22797
904	18808	22757
905	18834	22742
906	18839	22702
907	18844	22663
908	18850	22624
909	18855	22585
910	18880	22569
911	18885	22530
912	18891	22491
913	18896	22452
914	18922	22437
915	18965	22444
916	18971	22405
917	18976	22366
918	18981	22328
919	18987	22289
920	19017	22280
921	19025	22244
922	19031	22206
923	19037	22168
924	19042	22130
925	19068	22116
926	19089	22096
927	19102	22066
928	19107	22028
929	19112	21990
930	19137	21974
931	19142	21936
932	19147	21898
933	19153	21859
934	19158	21822
935	19186	21810
936	19192	21773
937	19198	21736
938	19203	21698
939	19208	21661
940	19238	21651
941	19243	21613
942	19249	21576
943	19255	21539
944	19260	21502
945	19292	21495
946	19298	21458
947	19303	21421
948	19309	21385
949	19315	21348
950	19341	21335
951	19347	21298
952	19353	21262
953	19358	21225
954	19363	21188
955	19390	21174
956	19395	21138
957	19400	21101
958	19406	21065
959	19411	21029
960	19437	21015
961	19442	20978
962	19455	20950
963	19465	20919
964	19471	20884
965	19505	20878
966	19521	20853
967	19526	20817
968	19535	20785
969	19555	20765
970	19603	20774
971	19626	20757
972	19650	20741
973	19675	20725
974	19689	20699
975	19756	20728
976	19778	20709
977	19800	20691
978	19824	20675
979	19849	20659
980	19894	20665
981	19924	20654
982	19952	20642
983	19990	20640
984	20014	20624
985	20074	20644
986	20104	20633
987	20129	20618
988	20153	20602
989	20177	20584
990	20237	20605
991	20260	20587
992	20283	20569
993	20308	20553
994	20331	20535
995	20392	20555
996	20416	20539
997	20439	20521
998	20455	20496
999	20477	20477
1000	20559	20518
1001	20578	20496
1002	20602	20479
1003	20628	20463
1004	20653	20447
1005	20714	20467
1006	20741	20453
1007	20769	20439
1008	20796	20425
1009	20822	20409
1010	20882	20428
1011	20906	20410
1012	20931	20394
1013	20957	20378
1014	20998	20378
1015	21073	20410
1016	21101	20395
1017	21124	20377
1018	21148	20359
1019	21180	20349
1020	21243	20370
1021	21276	20360
1022	21296	20339
1023	21321	20322
1024	21348	20306
1025	21397	20312
1026	21425	20298
1027	21454	20285
1028	21478	20267
1029	21496	20244
1030	21542	20247
1031	21559	20222
1032	21575	20197
1033	21593	20173
1034	21612	20151
1035	21693	20185
1036	21720	20170
