iter	Passed	Remaining
587	26384	63359
588	26420	63291
589	26456	63227
590	26515	63214
591	26550	63148
592	26584	63077
593	26623	63017
594	26658	62950
595	26716	62936
596	26753	62872
597	26802	62837
598	26837	62769
599	26874	62706
600	26933	62694
601	26966	62623
602	27003	62559
603	27039	62495
604	27077	62434
605	27141	62434
606	27175	62364
607	27211	62300
608	27247	62235
609	27283	62169
610	27344	62162
611	27377	62091
612	27414	62029
613	27449	61961
614	27485	61899
615	27546	61889
616	27584	61831
617	27620	61766
618	27655	61700
619	27694	61643
620	27755	61633
621	27795	61579
622	27840	61535
623	27883	61487
624	27927	61439
625	27988	61432
626	28026	61372
627	28062	61307
628	28097	61242
629	28134	61181
630	28194	61170
631	28230	61105
632	28267	61045
633	28305	60985
634	28342	60925
635	28405	60919
636	28440	60854
637	28475	60788
638	28510	60725
639	28547	60663
640	28606	60649
641	28642	60587
642	28680	60527
643	28715	60462
644	28750	60398
645	28823	60412
646	28861	60354
647	28902	60303
648	28945	60255
649	28981	60191
650	29040	60177
651	29078	60119
652	29113	60054
653	29149	59993
654	29185	59929
655	29244	59916
656	29279	59851
657	29315	59788
658	29351	59726
659	29387	59666
660	29447	59653
661	29482	59588
662	29517	59525
663	29554	59464
664	29588	59400
665	29650	59389
666	29686	59329
667	29723	59268
668	29759	59207
669	29794	59145
670	29870	59161
671	29907	59102
672	29952	59059
673	29987	58997
674	30024	58936
675	30082	58919
676	30116	58853
677	30152	58792
678	30190	58736
679	30227	58676
680	30289	58666
681	30324	58602
682	30360	58542
683	30394	58478
684	30434	58425
685	30491	58405
686	30529	58347
687	30565	58287
688	30604	58233
689	30641	58174
690	30701	58159
691	30739	58102
692	30792	58074
693	30837	58031
694	30893	58009
695	30991	58064
696	31026	58003
697	31077	57968
698	31137	57954
699	31193	57930
700	31292	57986
701	31352	57970
702	31416	57962
703	31479	57951
704	31546	57947
705	31662	58032
706	31716	58004
707	31774	57983
708	31837	57971
709	31898	57956
710	32021	58053
711	32083	58038
712	32151	58035
713	32218	58029
714	32284	58021
715	32375	58059
716	32425	58022
717	32490	58011
718	32539	57973
719	32579	57918
720	32667	57950
721	32722	57921
722	32785	57907
723	32842	57881
724	32911	57878
725	33022	57948
726	33082	57927
727	33144	57911
728	33188	57863
729	33235	57820
730	33320	57843
731	33382	57827
732	33448	57815
733	33509	57796
734	33573	57782
735	33682	57846
736	33745	57829
737	33813	57821
738	33876	57805
739	33958	57821
740	34070	57888
741	34136	57875
742	34198	57855
743	34266	57847
744	34328	57829
745	34420	57859
746	34453	57791
747	34488	57726
748	34524	57663
749	34559	57598
750	34620	57578
751	34655	57513
752	34688	57446
753	34723	57380
754	34758	57317
755	34822	57300
756	34856	57235
757	34892	57172
758	34930	57113
759	34967	57052
760	35039	57048
761	35074	56984
762	35108	56918
763	35148	56862
764	35190	56810
765	35249	56786
766	35284	56722
767	35322	56663
768	35363	56609
769	35403	56552
770	35463	56530
771	35497	56465
772	35535	56406
773	35572	56345
774	35610	56287
775	35669	56262
776	35706	56202
777	35742	56140
778	35781	56084
779	35819	56025
780	35880	56003
781	35918	55944
782	35956	55886
783	36005	55845
784	36044	55788
785	36106	55768
786	36140	55702
787	36187	55658
788	36222	55595
789	36259	55536
790	36319	55512
791	36357	55454
792	36394	55395
793	36434	55340
794	36473	55283
795	36534	55260
796	36572	55202
797	36610	55144
798	36659	55104
799	36694	55041
800	36757	55021
801	36794	54962
802	36830	54902
803	36867	54842
804	36906	54786
805	36968	54765
806	37002	54701
807	37047	54653
808	37086	54598
809	37122	54538
810	37191	54525
811	37237	54480
812	37274	54421
813	37309	54360
814	37345	54300
815	37403	54272
816	37440	54213
817	37479	54157
818	37521	54105
819	37562	54053
820	37626	54034
821	37666	53980
822	37702	53919
823	37740	53862
824	37779	53807
825	37840	53782
826	37875	53722
827	37917	53670
828	37952	53609
829	37987	53549
830	38071	53556
831	38108	53498
832	38149	53446
833	38187	53389
834	38225	53332
835	38288	53310
836	38324	53251
837	38362	53194
838	38399	53136
839	38438	53081
840	38499	53056
841	38536	52999
842	38571	52938
843	38609	52882
844	38647	52825
845	38707	52799
846	38743	52740
847	38779	52682
848	38818	52627
849	38856	52570
850	38916	52544
851	38954	52488
852	38990	52428
853	39027	52371
854	39066	52317
855	39137	52305
856	39176	52250
857	39211	52190
858	39255	52142
859	39288	52079
860	39352	52058
861	39387	51998
862	39421	51938
863	39454	51875
864	39493	51821
865	39553	51794
866	39588	51734
867	39628	51681
868	39665	51624
869	39700	51565
870	39763	51542
871	39800	51484
872	39837	51428
873	39875	51372
874	39917	51322
