iter	PrecisionAt:top=5	RecallAt:top=5	MAP:top=5
1200	0.190375	0.6008198867	0.2324770833
1205	0.190375	0.6008198867	0.2324354167
1210	0.1905	0.6009091724	0.232475
1215	0.19025	0.6008362558	0.2322307292
1220	0.190375	0.6008612558	0.2323432292
1225	0.19075	0.6010807498	0.2325494792
1230	0.190875	0.6010651248	0.23250625
1235	0.19075	0.6010442915	0.2323395833
1240	0.19075	0.6010442915	0.2325375
1245	0.191	0.6011544105	0.23255625
1250	0.19125	0.6015450355	0.2327020833
1255	0.191	0.6011432498	0.2325895833
1260	0.190875	0.6010182498	0.2325822917
1265	0.190875	0.6010182498	0.232603125
1270	0.19075	0.6009289641	0.2326065972
1275	0.191	0.6011432498	0.2328201389
1280	0.191	0.6011432498	0.2330791667
1285	0.190875	0.6010539641	0.2329947917
1290	0.190875	0.6010182498	0.2331260417
1295	0.191	0.6011224165	0.2331045139
1300	0.191	0.6009349165	0.2331378472
1305	0.191	0.6009349165	0.2332159722
1310	0.191	0.6011692915	0.2331972222
1315	0.191	0.6011692915	0.2333409722
1320	0.190875	0.6010651248	0.2331003472
1325	0.190875	0.6010651248	0.2332065972
1330	0.191	0.601099847	0.2332440972
1335	0.191125	0.601162347	0.2333972222
1340	0.191	0.601099847	0.2332076389
1345	0.191	0.6010730613	0.2333107639
1350	0.19125	0.6012516328	0.2334732639
1355	0.19125	0.6012516328	0.2335774306
1360	0.191125	0.601162347	0.2335482639
1365	0.191375	0.6012724661	0.2336982639
1370	0.191625	0.6015328828	0.2339996528
1375	0.191625	0.6017412161	0.2339340278
1380	0.191375	0.6014078828	0.2337038194
1385	0.19125	0.6010953828	0.2336756944
1390	0.19125	0.6012828828	0.2336163194
1395	0.191625	0.6017203828	0.2338142361
1400	0.191625	0.6017203828	0.2337934028
1405	0.1915	0.6015120494	0.2339600694
1410	0.191625	0.6015328828	0.2340600694
1415	0.19175	0.6017412161	0.2342059028
1420	0.192	0.6026787161	0.2343059028
1425	0.192125	0.6028349661	0.2343996528
1430	0.192125	0.6028349661	0.2345163194
1435	0.192125	0.6028349661	0.2345947917
1440	0.192125	0.6028349661	0.2346347222
1445	0.19225	0.6029130911	0.2351326389
1450	0.192	0.6026318411	0.2349065972
1455	0.192125	0.6026492022	0.2350451389
1460	0.192	0.6026283689	0.2351024306
1465	0.191875	0.6026110078	0.2349232639
1470	0.192	0.6026678259	0.2349607639
1475	0.19225	0.6032928259	0.2351659722
1480	0.192375	0.603497687	0.2352524306
1485	0.19225	0.6034803259	0.2351784722
1490	0.1925	0.6035497704	0.2353326389
1495	0.1925	0.6032581037	0.2353298611
1500	0.1925	0.6032581037	0.2353559028
1505	0.192375	0.6032372704	0.2352819444
1510	0.192375	0.6032372704	0.2352298611
1515	0.192375	0.6032372704	0.2350041667
1520	0.192625	0.603278937	0.2355729167
1525	0.192625	0.603278937	0.2354947917
1530	0.192625	0.6033473894	0.2354885417
1535	0.192625	0.6033473894	0.2355552083
1540	0.1925	0.6032581037	0.235340625
1545	0.192625	0.6033206037	0.2354197917
1550	0.1925	0.603231318	0.2353510417
1555	0.192625	0.603543818	0.2354510417
1560	0.192625	0.6032521513	0.2354947917
1565	0.192375	0.603481318	0.2353385417
1570	0.192625	0.604106318	0.2355947917
1575	0.192625	0.604106318	0.2355947917
1580	0.192625	0.604106318	0.235584375
1585	0.192875	0.6043354847	0.2359125
1590	0.192875	0.6043354847	0.2359657986
1595	0.192875	0.6043354847	0.2360282986
1600	0.192875	0.604216437	0.2360234375
1605	0.193	0.6044247704	0.2361918403
1610	0.19275	0.603591437	0.2358098958
1615	0.19275	0.603591437	0.2357890625
1620	0.192625	0.6035021513	0.2357213542
1625	0.1925	0.6031896513	0.2356015625
1630	0.192375	0.6031450085	0.2355786458
1635	0.19275	0.603591437	0.2358671875
1640	0.1925	0.6034575085	0.2356119792
1645	0.1925	0.6034575085	0.2355918403
1650	0.192875	0.6042595918	0.2358411458
1655	0.192875	0.6042595918	0.2358494792
1660	0.19325	0.6046353359	0.2364671875
1665	0.193125	0.6040103359	0.2362692708
1670	0.19325	0.6046395025	0.2366046875
1675	0.193	0.6044103359	0.2364213542
1680	0.193	0.6044103359	0.2364369792
1685	0.193	0.6044103359	0.2364494792
1690	0.193	0.6044103359	0.2364078125
1695	0.193125	0.6046186692	0.2365942708
1700	0.193125	0.6044311692	0.2366480903
1705	0.193	0.6044103359	0.2364234375
1710	0.193	0.6044103359	0.2364671875
1715	0.193	0.6044103359	0.2366234375
1720	0.192875	0.6037853359	0.2363005208
1725	0.193125	0.6044270025	0.2365630208
1730	0.193	0.6043020025	0.2366630208
1735	0.193	0.6043020025	0.2367578125
1740	0.192875	0.6036770025	0.2366119792
1745	0.193	0.6043020025	0.2366328125
1750	0.193125	0.6044270025	0.2367390625
1755	0.19325	0.6047395025	0.23679375
1760	0.19325	0.6047395025	0.2368736111
1765	0.19325	0.6047395025	0.2368736111
1770	0.19325	0.6047395025	0.2369267361
1775	0.193125	0.6041145025	0.2368642361
1780	0.19325	0.6047395025	0.2370527778
1785	0.193375	0.6048176275	0.2372309028
1790	0.193375	0.6048176275	0.2371892361
1795	0.193375	0.6046301275	0.2372996528
1800	0.193375	0.6046301275	0.2371809028
1805	0.193375	0.6046342942	0.2372059028
1810	0.193125	0.6044009609	0.2369559028
1815	0.19325	0.6046092942	0.2372475694
1820	0.19325	0.6046092942	0.2371184028
1825	0.1935	0.604699572	0.2373850694
1830	0.193375	0.6046301275	0.23731875
1835	0.193375	0.6046301275	0.237309375
1840	0.193375	0.6046301275	0.2373447917
1845	0.193375	0.6046301275	0.237365625
1850	0.193375	0.6046301275	0.2375385417
1855	0.19325	0.6046092942	0.2374670139
1860	0.193375	0.6046301275	0.2376711806
1865	0.19325	0.6046092942	0.2375920139
1870	0.19325	0.6046092942	0.2375545139
1875	0.19325	0.603949572	0.2375222222
1880	0.19325	0.6039282044	0.2375670139
1885	0.1935	0.6040145408	0.2378107639
1890	0.193875	0.6044510487	0.2381336806
1895	0.19375	0.604361763	0.2380836806
1900	0.193875	0.6044659297	0.2381003472
1905	0.193625	0.604049263	0.2379920139
1910	0.19375	0.6041534297	0.2381039931
1915	0.19375	0.6041534297	0.2380076389
1920	0.193875	0.6044659297	0.2382019097
1925	0.19375	0.6044268672	0.2381019097
1930	0.19375	0.6044268672	0.2382633681
1935	0.193875	0.6045161529	0.2384050347
1940	0.19375	0.6044380279	0.2382008681
1945	0.19375	0.6044380279	0.2383300347
1950	0.19375	0.6044380279	0.2382946181
1955	0.193875	0.6050630279	0.2385029514
1960	0.193875	0.6050395904	0.2385487847
1965	0.193875	0.6050395904	0.2385612847
1970	0.193875	0.6050395904	0.2386060764
1975	0.193875	0.6050395904	0.2385592014
1980	0.194	0.6051645904	0.2386592014
1985	0.194	0.6051645904	0.2386946181
1990	0.194	0.6051645904	0.2387696181
1995	0.194125	0.6053729237	0.2388008681
1999	0.194125	0.6053729237	0.2387571181
