iter	Passed	Remaining
536	10247	27918
537	10257	27873
538	10266	27827
539	10275	27781
540	10307	27797
541	10316	27752
542	10326	27707
543	10335	27661
544	10344	27616
545	10376	27632
546	10385	27588
547	10395	27543
548	10404	27498
549	10413	27454
550	10444	27465
551	10453	27421
552	10462	27376
553	10471	27331
554	10480	27287
555	10511	27300
556	10520	27255
557	10529	27211
558	10539	27167
559	10548	27123
560	10579	27137
561	10588	27093
562	10597	27049
563	10607	27006
564	10616	26963
565	10648	26977
566	10657	26934
567	10666	26891
568	10675	26848
569	10684	26805
570	10716	26818
571	10725	26775
572	10734	26733
573	10743	26690
574	10752	26648
575	10784	26660
576	10793	26618
577	10802	26576
578	10811	26534
579	10820	26492
580	10851	26504
581	10861	26463
582	10870	26420
583	10879	26378
584	10891	26344
585	10923	26358
586	10932	26317
587	10941	26275
588	10951	26234
589	10960	26193
590	10992	26207
591	11002	26168
592	11011	26127
593	11021	26086
594	11030	26046
595	11061	26058
596	11071	26018
597	11080	25978
598	11090	25939
599	11099	25899
600	11166	25992
601	11175	25953
602	11184	25912
603	11194	25872
604	11203	25832
605	11234	25844
606	11244	25804
607	11253	25764
608	11263	25726
609	11272	25686
610	11304	25699
611	11314	25660
612	11323	25621
613	11333	25582
614	11342	25544
615	11378	25565
616	11388	25527
617	11397	25488
618	11407	25449
619	11416	25411
620	11449	25425
621	11459	25387
622	11468	25348
623	11477	25309
624	11487	25271
625	11518	25281
626	11527	25243
627	11537	25206
628	11546	25168
629	11555	25129
630	11587	25139
631	11596	25101
632	11605	25063
633	11615	25025
634	11624	24987
635	11655	24997
636	11664	24959
637	11673	24921
638	11682	24882
639	11691	24845
640	11722	24853
641	11731	24816
642	11741	24778
643	11750	24740
644	11759	24704
645	11790	24712
646	11799	24675
647	11808	24638
648	11818	24601
649	11827	24563
650	11858	24573
651	11868	24536
652	11877	24500
653	11889	24470
654	11899	24433
655	11930	24443
656	11940	24407
657	11949	24370
658	11958	24334
659	11967	24297
660	11999	24306
661	12008	24270
662	12016	24233
663	12025	24196
664	12035	24161
665	12066	24170
666	12075	24133
667	12085	24098
668	12094	24062
669	12103	24027
670	12159	24083
671	12174	24058
672	12183	24023
673	12193	23988
674	12203	23954
675	12237	23968
676	12247	23933
677	12256	23898
678	12266	23864
679	12276	23830
680	12309	23841
681	12319	23807
682	12328	23772
683	12337	23737
684	12347	23703
685	12379	23712
686	12388	23677
687	12398	23642
688	12407	23607
689	12416	23573
690	12447	23580
691	12457	23546
692	12467	23512
693	12476	23478
694	12485	23444
695	12540	23494
696	12549	23460
697	12558	23426
698	12568	23392
699	12577	23358
700	12612	23371
701	12621	23337
702	12631	23303
703	12640	23270
704	12649	23236
705	12687	23254
706	12696	23220
707	12706	23187
708	12715	23153
709	12725	23121
710	12757	23127
711	12766	23094
712	12775	23060
713	12784	23026
714	12793	22992
715	12828	23005
716	12837	22972
717	12848	22941
718	12860	22912
719	12869	22879
720	12902	22888
721	12912	22855
722	12921	22822
723	12930	22788
724	12939	22756
725	12971	22762
726	12980	22729
727	12989	22696
728	12999	22663
729	13008	22630
730	13040	22638
731	13050	22606
732	13059	22573
733	13069	22541
734	13078	22509
735	13110	22515
736	13120	22484
737	13129	22451
738	13139	22420
739	13163	22413
740	13216	22455
741	13225	22423
742	13234	22390
743	13243	22357
744	13253	22325
745	13284	22330
746	13293	22298
747	13303	22266
748	13312	22234
749	13321	22202
750	13354	22210
751	13363	22178
752	13373	22147
753	13382	22114
754	13392	22083
755	13423	22088
756	13433	22057
757	13442	22025
758	13451	21993
759	13460	21962
760	13493	21969
761	13503	21938
762	13512	21906
763	13521	21875
764	13530	21843
765	13562	21848
766	13570	21816
767	13583	21790
768	13593	21760
769	13602	21728
770	13633	21733
771	13643	21702
772	13652	21670
773	13661	21639
774	13670	21608
775	13702	21612
776	13711	21581
777	13721	21551
778	13730	21520
779	13739	21490
780	13771	21494
781	13780	21463
782	13789	21432
783	13798	21401
784	13807	21370
785	13840	21377
786	13853	21352
787	13863	21322
788	13873	21293
789	13884	21266
790	13918	21273
791	13928	21243
792	13936	21213
793	13946	21182
794	13955	21152
795	13987	21156
796	13996	21126
797	14005	21096
798	14015	21066
799	14024	21036
800	14056	21040
801	14065	21011
802	14075	20981
803	14085	20952
804	14094	20923
805	14127	20929
806	14137	20900
807	14147	20871
808	14157	20841
809	14187	20844
810	14231	20864
811	14240	20834
812	14249	20805
813	14262	20780
814	14271	20751
815	14302	20751
816	14311	20722
817	14320	20692
818	14329	20662
819	14338	20633
820	14369	20635
821	14378	20605
822	14387	20576
823	14396	20547
824	14406	20518
825	14438	20520
826	14447	20491
827	14456	20461
828	14465	20433
829	14474	20404
830	14509	20411
831	14519	20382
832	14529	20355
833	14539	20326
